smile,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,NiO2,ethanol,toluene,IPA,THF,chlorobenzene,2-Methoxyethanol,CH2CL2,concentration(mg/ml),wash,E,Cs,FA,MA,Pb,Sn,I,Br,CL,C60,BCP,PC60BM,PCBM,PC61BM,PEAI,ALD-SnO2,PCE
O=C(C1=CC=C(C2=C(OC)C(OC)=C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)C6=NSN=C62)C=C1)O,1.474490245,1908.604279,31.50106027,24.97594843,25.79244501,21.96459005,13.89587187,14.62616861,9.938771666,10.46721935,7.526683757,8.055131445,5.350341952,5.909977035,5.969305288,9.901064579,0,5.563451492,28.09587659,56.97972431,0,52.70465844,72.79640482,13.64698969,18.94745182,619.1777066,0.114285714,-5.61,45,590.467,23162023542,29.46130058,12.55181032,5.471649411,263.6977647,11.44574633,0.496765883,11.44574633,0.335178964,0.18737256,0.335178964,-0.997306264,-0.496765883,8.2277,176.1373,619.699,1,9,0,0,0,5,1,6,9,1,10,0,10,0,0,0,226,28.95388894,22.5324251,11.49902367,0,0,5.969305288,0,4.794537184,8.747079963,0,24.26546827,83.9233078,17.06215882,56.85773199,6,28.84851639,45.79305289,0,8.747079963,0,0,33.3390999,102.6253246,0,45.2518533,23.84736155,17.06215882,22.99804733,11.72818735,48.26210281,0,0,10.35798868,97.0618731,0,33.2872074,0,103.24,0,1.091570927,0,0,0,0,0,0,9.289161844,91.45260056,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.35,0,0.35,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,23.13
O=C(O)C1=CC=C(C=C1)C2=C(C(OCCOC)=C(C3=NSN=C32)C4=CC=C(C=C4)N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)OCCOC,1.516092267,2019.493171,35.74370096,28.62087214,29.43736872,24.96459005,16.0505724,16.78086915,11.21304536,11.74149305,8.186149703,8.714597391,5.690378463,6.250013545,5.969305288,9.901064579,0,18.77721542,52.43654351,45.85282133,0,52.70465844,72.79640482,4.899909731,37.16825769,707.2301361,0.205128205,-5.69,51,670.509,4.15724E+11,35.14705392,16.34471095,7.577948184,299.3846236,11.63863917,0.496765883,11.63863917,0.335178964,0.166527695,0.335178964,-1.015259545,-0.496765883,8.2609,197.7753,707.805,1,11,0,0,0,5,1,6,11,1,12,0,16,0,0,0,262,38.42761485,35.74618903,11.49902367,0,0,5.969305288,0,4.794537184,8.747079963,0,24.26546827,83.9233078,31.28175391,55.85190083,6,38.3222423,45.79305289,0,8.747079963,0,0,59.76662775,102.6253246,0,45.2518533,23.84736155,17.06215882,22.99804733,11.72818735,74.68963067,9.473725908,0,10.35798868,97.0618731,0,33.2872074,0,121.7,0,1.07791016,0,0,0,0,0,0,9.462167954,104.2932552,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0.35,0,0.33,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,23.54
O=C(C1=CC=C(C2=C(OCCOCCOC)C(OCCOCCOC)=C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)C6=NSN=C62)C=C1)O,1.477359715,2130.768915,39.98634165,32.26579584,33.08229242,27.96459005,18.20527294,18.93556969,12.43779023,12.96623792,8.930166639,9.458614327,6.130204868,6.68983995,5.969305288,9.901064579,0,31.99097935,65.65030743,45.85282133,0,52.70465844,72.79640482,4.899909731,46.64198359,795.2825656,0.279069767,-5.77,57,750.551,7.63310174388e+12,40.88034433,20.41036541,9.974758394,335.0714825,11.76271415,0.496765883,11.76271415,0.335178964,0.15289172,0.335178964,-1.027277664,-0.496765883,8.2941,219.4133,795.911,1,13,0,0,0,5,1,6,13,1,14,0,22,0,0,0,298,47.90134076,35.74618903,11.49902367,0,0,5.969305288,0,4.794537184,8.747079963,0,24.26546827,83.9233078,31.28175391,82.27942869,6,47.79596821,45.79305289,0,8.747079963,0,0,86.19415561,102.6253246,0,45.2518533,23.84736155,17.06215882,22.99804733,11.72818735,101.1171585,18.94745182,0,10.35798868,97.0618731,0,33.2872074,0,140.16,0,1.068299267,0,0,0,0,0,0,9.549821323,117.2152127,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0.35,0,0.42,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,22.13
O=P(O)(CCCCN(C1=C2C=C(C=C1)[NH3+])C3=C2C=C(C=C3)[NH3+])O.[Br-].[Br-],1.56E-06,864.51522,16.6125197,13.65977392,17.72619419,10.84915521,7.595417838,9.393021742,5.950038541,7.726620522,4.074813376,4.973615328,3.02696134,3.662510295,7.595762327,4.565048285,0,40.12481173,6.420821623,46.14620044,0,0,12.13273414,40.29990288,9.786823206,492.9765524,0.25,-0.73,25,472.976,152678.8069,22.31120313,8.772870249,5.137009562,166.4302261,10.96603356,1,10.96603356,0.32506311,0,0.32506311,-3.907271396,-1,-4.4928,90.6853,495.152,8,6,0,0,0,2,1,3,2,4,9,0,5,0,0,0,138,59.78415951,11.37477255,0,0,0,7.595762327,4.565048285,0,0,0,0,24.97437738,58.77798457,0,3,59.78210815,40.77638474,0,4.567099648,0,19.38639965,6.161910027,36.39820241,0,0,45.43023666,11.37477255,0,7.595762327,20.51583288,11.10980469,0,12.84164325,36.39820241,0,21.80584986,0,117.74,0,0,0,0,0,0,0,0,13.17756386,42.62799169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2,1,0.09,0.05,0.7,0.25,0.5,0.5,1,0,0,1,1,0,0,0,0,0,23
OP(CCN(C1=C2C=C(C3=CC=CC=C3OC)C=C1)C4=C2C=C(C5=C(OC)C=CC=C5)C=C4)(O)=O,1.756818262,1478.956903,24.57877502,19.51071658,20.40514378,16.89149131,11.26775647,13.06536037,8.404352574,10.18093455,6.315720914,7.0982951,4.676546684,5.13708178,7.595762327,14.35187149,0,12.70666643,0,55.5586795,0,14.21959508,77.36350447,12.13273414,9.473725908,487.1548596,0.142857143,-3.57,35,461.284,109447154.2,23.18494025,9.232347192,4.439761428,203.0663193,11.67125545,0.496114155,11.67125545,0.326855435,0.214570736,0.326855435,-4.152778136,-0.496114155,6.3234,140.3311,487.492,2,6,0,0,0,4,1,5,4,2,7,0,7,0,0,0,178,23.82764876,11.49902367,0,0,0,7.595762327,4.565048285,0,0,0,48.53093655,47.52510539,39.47750925,20.38150511,5,23.8255974,29.40161219,0,4.567099648,0,6.544756406,20.38150511,84.92913896,0,33.75282963,9.473725908,0,11.49902367,7.595762327,34.73542796,11.10980469,0,0,84.92913896,0,44.05965583,0,80.92,0,0,0,0,0,0,0,0,13.65912015,66.81310207,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.39,0.05,0.85,0.1,1,0,1,0,0,1,1,0,0,0,0,0,24.7
OP(CCN(C1=C2C=C(C3=CC=C(OC)C=C3)C=C1)C4=C2C=C(C5=CC=C(OC)C=C5)C=C4)(O)=O,1.677844811,1444.456903,24.57877502,19.51071658,20.40514378,16.85781781,11.25579034,13.05339424,8.460788529,10.23737051,6.326467178,7.109041364,4.501287049,4.961822145,7.595762327,14.35187149,0,12.70666643,0,55.5586795,0,14.21959508,77.36350447,12.13273414,9.473725908,487.1548596,0.142857143,-3.57,35,461.284,107995962.9,23.18494025,9.232347192,4.688335704,203.0663193,11.6420666,0.496767818,11.6420666,0.326855435,0.215929949,0.326855435,-4.13776452,-0.496767818,6.3234,140.3311,487.492,2,6,0,0,0,4,1,5,4,2,7,0,7,0,0,0,178,23.82764876,11.49902367,0,0,0,7.595762327,4.565048285,0,0,0,36.39820241,70.78474251,28.35060627,20.38150511,5,23.8255974,29.40161219,0,4.567099648,0,6.544756406,20.38150511,84.92913896,0,33.75282963,9.473725908,0,11.49902367,7.595762327,34.73542796,11.10980469,0,0,84.92913896,0,44.05965583,0,80.92,0,0,0,0,0,0,0,0,13.64143132,66.83079091,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.37,0.05,0.85,0.1,1,0,1,0,0,1,1,0,0,0,0,0,25.5
OP(CCN(C1=C2C=C(C3=CC=CC(OC)=C3)C=C1)C4=C2C=C(C5=CC(OC)=CC=C5)C=C4)(O)=O,1.715545835,1478.956903,24.57877502,19.51071658,20.40514378,16.85781781,11.25579034,13.05339424,8.467697176,10.24427916,6.285906446,7.068480632,4.539615307,5.000150404,7.595762327,14.35187149,0,12.70666643,0,55.5586795,0,14.21959508,77.36350447,12.13273414,9.473725908,487.1548596,0.142857143,-3.57,35,461.284,106399277.2,23.18494025,9.232347192,4.688335704,203.0663193,11.65503326,0.496745477,11.65503326,0.326855435,0.221080282,0.326855435,-4.14436766,-0.496745477,6.3234,140.3311,487.492,2,6,0,0,0,4,1,5,4,2,7,0,7,0,0,0,178,23.82764876,11.49902367,0,0,0,7.595762327,4.565048285,0,0,0,36.39820241,70.78474251,28.35060627,20.38150511,5,23.8255974,29.40161219,0,4.567099648,0,6.544756406,20.38150511,84.92913896,0,33.75282963,9.473725908,0,11.49902367,7.595762327,34.73542796,11.10980469,0,0,84.92913896,0,44.05965583,0,80.92,0,0,0,0,0,0,0,0,13.64954715,66.82267508,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.35,0.05,0.85,0.1,1,0,1,0,0,1,1,0,0,0,0,0,26.2
OP(/C(P(O)(O)=O)=C/C1=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)(O)=O,2.040602671,1025.334935,21.07070333,15.10724579,16.89610017,13.65983317,8.50326704,11.72799097,6.188635451,9.681149743,4.072722575,7.087900961,2.80790451,4.799966998,20.24680599,28.70374298,0,5.563451492,0,23.13817893,0,24.26546827,65.56358042,0,0,431.0687606,0,-2.5,29,412.169,2353560.889,21.21468144,8.474117647,5.309595626,167.4485222,11.45334959,0.363960826,11.45334959,0.363960826,0.260623478,0.320816496,-5.101814907,-0.320816496,4.8102,113.1902,431.321,4,7,0,0,0,3,0,3,3,4,9,0,6,0,0,0,150,24.47355614,0,5.055281339,0,0,15.19152465,9.13009657,0,0,0,48.53093655,48.03767401,17.06215882,0,3,28.70374298,38.32970358,0,0,0,0,4.899909731,95.54787179,0,0,4.899909731,17.06215882,0,15.19152465,19.57364641,9.13009657,0,5.563451492,89.9844203,0,6.076020107,0,118.3,0,0,0,0,0,0,0,0,22.90669917,57.03774527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.32,0.05,0.95,0,1,0,1,0,0,1,1,0,0,0,0,0,26.11
CC1(C)C2=C(C=CC=C2)C3=C1C=C(N(CCCCP(O)(O)=O)C4=C5C=CC=C4)C5=C3,1.664114765,1329.237528,21.09564736,17.29903249,18.19345968,14.27180494,10.47164439,12.26924829,8.849709524,10.6262915,6.556713628,7.45551558,5.070430556,5.705979511,7.595762327,14.35187149,0,11.5769005,6.420821623,12.96557803,44.05965583,0,0,79.07824473,0,419.1650303,0.28,-2.39,30,393.253,8156326.807,19.56623044,6.813830986,3.024721953,175.8711299,11.21228771,0.340465981,11.21228771,0.32506311,0.0536980837892,0.32506311,-3.939363207,-0.340465981,6.0587,123.1531,419.461,2,4,1,0,1,3,1,4,2,2,5,0,5,0,0,0,154,14.35392285,0,0,0,0,7.595762327,4.565048285,0,0,0,56.31204388,53.29455042,39.92750677,0,5,14.35187149,29.40161219,0,4.567099648,0,38.64886452,6.161910027,71.79057367,0,11.12690298,0,0,0,7.595762327,20.51583288,16.52479516,0,37.81602063,60.66367068,0,32.93275285,0,62.46,0,0,0,0,0,0,0,0,13.53539208,52.85349681,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.04,0.03,0.8,0.17,1,0,1,0,0,0,1,0,0,1,0,0,25.4
